datetime_stamp,filename,raw_overlap,lhood_overlap,loglhood_overlap,total_marks,after_marks,total_row
# mp_d1_w0_a05_n400_rad25  pam=1   (startrow =4320 for all unless stated)
2017-01-04 19:21,stm_sb_modified.csv,"[9, 21, 492]","[0, 0, 13]","[0, 0, 1]",13,10,31488
2017-01-04 19:32,stm_kontroll02 (edited).csv,"[0, 0, 339]","[0, 0, 5]","[0, 0, 0]",0,0,24539
2017-01-04 19:41,stm_kontroll05 (edited).csv,"[0, 0, 305]","[0, 0, 8]","[0, 0, 1]",0,0,21672
# mp_h1_d0_w1_a025_n400_rad40_bst5_pam2 
2017-01-04 20:08,stm_aasane01_03_modified.csv,"[3, 16, 1464]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-04 20:20,stm_aasane16_modified.csv,"[6, 31, 1670]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-04 20:33,stm_aasane18_modified.csv,"[4, 11, 664]","[0, 0, 1]","[0, 0, 0]",4,4,25913
2017-01-04 21:09,stm_fusa04 (edited).csv,"[0, 0, 1033]","[0, 0, 4]","[0, 0, 0]",0,0,47136
2017-01-04 21:28,stm_sb_modified.csv,"[6, 20, 1453]","[0, 0, 0]","[0, 0, 0]",13,10,31488
# mp_h1_d0_w1_a025_n400_rad40_bst0_pam2
2017-01-04 21:39,stm_aasane01_03_modified.csv,"[3, 3, 113]","[0, 0, 41]","[0, 0, 9]",5,3,23247
2017-01-04 21:47,stm_aasane16_modified.csv,"[1, 2, 74]","[0, 1, 18]","[0, 1, 4]",7,6,22150
2017-01-04 21:56,stm_aasane18_modified.csv,"[0, 2, 78]","[0, 0, 18]","[0, 0, 3]",4,4,25913
2017-01-04 22:12,stm_fusa04 (edited).csv,"[0, 0, 71]","[0, 0, 94]","[0, 0, 22]",0,0,47136
2017-01-04 22:23,stm_sb_modified.csv,"[1, 7, 78]","[0, 0, 28]","[0, 0, 4]",13,10,31488
2017-01-04 22:32,stm_kontroll02 (edited).csv,"[0, 0, 79]","[0, 0, 16]","[0, 0, 2]",0,0,24539
2017-01-04 22:40,stm_kontroll05 (edited).csv,"[0, 0, 96]","[0, 0, 27]","[0, 0, 5]",0,0,21672
#
# mp_h1_d0_w1_a05_n400_rad30_bst1_pam1  (use with SUM step=5)
2017-01-05 11:32,stm_aasane01_03_modified.csv,"[2, 6, 35]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-05 11:34,stm_aasane16_modified.csv,"[3, 2, 22]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 11:35,stm_aasane18_modified.csv,"[3, 2, 45]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-05 11:38,stm_fusa04 (edited).csv,"[0, 0, 32]","[0, 0, 1]","[0, 0, 0]",0,0,47136
2017-01-05 11:40,stm_sb_modified.csv,"[5, 18, 48]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-05 11:42,stm_kontroll02 (edited).csv,"[0, 0, 35]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 11:43,stm_kontroll05 (edited).csv,"[0, 0, 50]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n400_rad30_bst2_pam3  (SUM step=5)
2017-01-05 12:01,stm_aasane01_03_modified.csv,"[2, 4, 29]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-05 12:02,stm_aasane16_modified.csv,"[4, 6, 38]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 12:04,stm_aasane18_modified.csv,"[3, 3, 51]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-05 12:07,stm_fusa04 (edited).csv,"[0, 0, 40]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 12:09,stm_sb_modified.csv,"[8, 15, 77]","[1, 0, 1]","[0, 0, 0]",13,10,31488
2017-01-05 12:10,stm_kontroll02 (edited).csv,"[0, 0, 40]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 12:11,stm_kontroll05 (edited).csv,"[0, 0, 46]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n400_rad30_bst2_pam3 (MEAN step=5)
2017-01-05 13:46,stm_aasane01_03_modified.csv,"[2, 5, 47]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-05 13:47,stm_aasane16_modified.csv,"[5, 7, 42]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 13:49,stm_aasane18_modified.csv,"[2, 6, 49]","[0, 0, 1]","[0, 0, 0]",4,4,25913
2017-01-05 13:52,stm_fusa04 (edited).csv,"[0, 0, 40]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 13:54,stm_sb_modified.csv,"[7, 15, 49]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-05 13:56,stm_kontroll02 (edited).csv,"[0, 0, 34]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 13:57,stm_kontroll05 (edited).csv,"[0, 0, 37]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n400_rad30_bst1_pam1 (MEAN step=5)
2017-01-05 14:01,stm_aasane01_03_modified.csv,"[2, 4, 35]","[0, 0, 1]","[0, 0, 0]",5,3,23247
2017-01-05 14:02,stm_aasane16_modified.csv,"[4, 8, 42]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 14:03,stm_aasane18_modified.csv,"[4, 6, 44]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-05 14:07,stm_fusa04 (edited).csv,"[0, 0, 42]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 14:09,stm_sb_modified.csv,"[5, 14, 31]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-05 14:10,stm_kontroll02 (edited).csv,"[0, 0, 30]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 14:11,stm_kontroll05 (edited).csv,"[0, 0, 35]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n200_rad30_bst1_pam1 (MEAN step=5)
2017-01-05 14:20,stm_aasane01_03_modified.csv,"[1, 5, 18]","[0, 6, 9]","[0, 1, 1]",5,3,23247
2017-01-05 14:21,stm_aasane16_modified.csv,"[1, 4, 26]","[0, 0, 1]","[0, 0, 0]",7,6,22150
2017-01-05 14:22,stm_aasane18_modified.csv,"[2, 3, 37]","[0, 0, 5]","[0, 0, 1]",4,4,25913
2017-01-05 14:25,stm_fusa04 (edited).csv,"[0, 0, 29]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 14:27,stm_sb_modified.csv,"[8, 13, 38]","[1, 1, 10]","[1, 0, 1]",13,10,31488
2017-01-05 14:28,stm_kontroll02 (edited).csv,"[0, 0, 36]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 14:30,stm_kontroll05 (edited).csv,"[0, 0, 33]","[0, 0, 1]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n200_rad30_bst1_pam1 (SUM step=5)
2017-01-05 14:37,stm_aasane01_03_modified.csv,"[1, 5, 18]","[0, 6, 9]","[0, 1, 1]",5,3,23247
2017-01-05 14:38,stm_aasane16_modified.csv,"[1, 4, 26]","[0, 0, 1]","[0, 0, 0]",7,6,22150
2017-01-05 14:39,stm_aasane18_modified.csv,"[2, 3, 37]","[0, 0, 5]","[0, 0, 1]",4,4,25913
2017-01-05 14:42,stm_fusa04 (edited).csv,"[0, 0, 29]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 14:44,stm_sb_modified.csv,"[8, 13, 38]","[1, 1, 10]","[1, 0, 1]",13,10,31488
2017-01-05 14:45,stm_kontroll02 (edited).csv,"[0, 0, 36]","[0, 0, 0]","[0, 0, 0]",0,0,24539
# 
# mp_h1_d0_w1_a05_n400_rad30_bst1_pam1 (MEAN step=5)
2017-01-05 14:52,stm_aasane01_03_modified.csv,"[2, 4, 35]","[0, 0, 1]","[0, 0, 0]",5,3,23247
2017-01-05 14:53,stm_aasane16_modified.csv,"[4, 8, 42]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 14:55,stm_aasane18_modified.csv,"[4, 6, 44]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-05 14:58,stm_fusa04 (edited).csv,"[0, 0, 42]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 15:00,stm_sb_modified.csv,"[5, 14, 31]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-05 15:01,stm_kontroll02 (edited).csv,"[0, 0, 30]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 15:03,stm_kontroll05 (edited).csv,"[0, 0, 35]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n200_rad20_bst5_pam1 (SUM step=5)
2017-01-05 15:09,stm_aasane01_03_modified.csv,"[2, 6, 36]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-05 15:10,stm_aasane16_modified.csv,"[2, 3, 35]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 15:11,stm_aasane18_modified.csv,"[3, 9, 65]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-05 15:14,stm_fusa04 (edited).csv,"[0, 0, 31]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 15:16,stm_sb_modified.csv,"[7, 17, 63]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-05 15:17,stm_kontroll02 (edited).csv,"[0, 0, 74]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 15:18,stm_kontroll05 (edited).csv,"[0, 0, 44]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n200_rad20_bst5_pam1 (MEAN step=5)
2017-01-05 15:25,stm_aasane01_03_modified.csv,"[2, 6, 36]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-05 15:26,stm_aasane16_modified.csv,"[2, 3, 35]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-05 15:27,stm_aasane18_modified.csv,"[3, 9, 65]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-05 15:30,stm_fusa04 (edited).csv,"[0, 0, 31]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-05 15:32,stm_sb_modified.csv,"[7, 17, 63]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-05 15:33,stm_kontroll02 (edited).csv,"[0, 0, 74]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-05 15:34,stm_kontroll05 (edited).csv,"[0, 0, 44]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n200_rad40_pam1
2017-01-05 15:42,stm_aasane01_03_modified.csv,"[1, 0, 11]","[0, 3, 101]","[0, 1, 22]",5,3,23247
2017-01-05 15:49,stm_aasane16_modified.csv,"[0, 0, 14]","[1, 3, 89]","[0, 0, 22]",7,6,22150
2017-01-05 15:58,stm_aasane18_modified.csv,"[0, 0, 14]","[0, 4, 90]","[0, 0, 17]",4,4,25913
2017-01-05 16:12,stm_fusa04 (edited).csv,"[0, 0, 16]","[0, 0, 109]","[0, 0, 28]",0,0,47136
2017-01-05 16:23,stm_sb_modified.csv,"[0, 1, 16]","[0, 1, 73]","[0, 0, 17]",13,10,31488
2017-01-05 16:33,stm_kontroll02 (edited).csv,"[0, 0, 18]","[0, 0, 55]","[0, 0, 9]",0,0,24539
#
# mp_h1_d0_w1_a05_n500_rad40_pam1_w81 (MEAN step=5)
2017-01-05 20:29,stm_aasane01_03_modified.csv,"[0, 0, 0]","[0, 28, 30]","[0, 10, 11]",5,3,23247
2017-01-05 20:30,stm_aasane16_modified.csv,"[0, 0, 1]","[0, 0, 8]","[0, 0, 3]",7,6,22150
2017-01-05 20:31,stm_aasane18_modified.csv,"[0, 0, 1]","[0, 0, 13]","[0, 0, 6]",4,4,25913
2017-01-05 20:34,stm_fusa04 (edited).csv,"[0, 0, 0]","[0, 0, 6]","[0, 0, 3]",0,0,47136
2017-01-05 20:35,stm_sb_modified.csv,"[0, 1, 1]","[1, 7, 22]","[1, 3, 5]",13,10,31488
2017-01-05 20:36,stm_kontroll02 (edited).csv,"[0, 0, 0]","[0, 0, 15]","[0, 0, 4]",0,0,24539
2017-01-05 20:37,stm_kontroll05 (edited).csv,"[0, 0, 0]","[0, 0, 7]","[0, 0, 3]",0,0,21672
#
# mp_h1_d0_w1_a05_n500_rad30_bst1_pam1_w51 (MEAN step=5) 
2017-01-05 20:44,stm_aasane01_03_modified.csv,"[0, 0, 2]","[0, 0, 16]","[0, 0, 2]",5,3,23247
2017-01-05 20:45,stm_aasane16_modified.csv,"[0, 1, 4]","[0, 0, 4]","[0, 0, 0]",7,6,22150
2017-01-05 20:47,stm_aasane18_modified.csv,"[0, 0, 3]","[1, 1, 12]","[1, 0, 2]",4,4,25913
2017-01-05 20:50,stm_fusa04 (edited).csv,"[0, 0, 2]","[0, 0, 39]","[0, 0, 6]",0,0,47136
2017-01-05 20:52,stm_sb_modified.csv,"[0, 0, 2]","[0, 0, 13]","[0, 0, 1]",13,10,31488
2017-01-05 20:54,stm_kontroll02 (edited).csv,"[0, 0, 0]","[0, 0, 9]","[0, 0, 1]",0,0,24539
2017-01-05 20:55,stm_kontroll05 (edited).csv,"[0, 0, 3]","[0, 0, 2]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a05_n500_rad30_bst1_pam1_w51 (SUM step=5)
2017-01-05 20:58,stm_aasane01_03_modified.csv,"[0, 0, 2]","[0, 0, 16]","[0, 0, 2]",5,3,23247
2017-01-05 21:00,stm_aasane16_modified.csv,"[0, 1, 4]","[0, 0, 4]","[0, 0, 0]",7,6,22150
2017-01-05 21:01,stm_aasane18_modified.csv,"[0, 0, 3]","[1, 1, 12]","[1, 0, 2]",4,4,25913
#
#mp_h1_d0_w1_a05_n500_rad30_bst1_pam1_w51 
2017-01-05 21:18,stm_aasane01_03_modified.csv,"[0, 0, 4]","[1, 3, 85]","[0, 0, 17]",5,3,23247
2017-01-05 21:27,stm_aasane16_modified.csv,"[0, 0, 9]","[0, 0, 48]","[0, 0, 11]",7,6,22150
2017-01-05 21:38,stm_aasane18_modified.csv,"[0, 0, 6]","[1, 2, 57]","[1, 1, 9]",4,4,25913
2017-01-05 22:01,stm_fusa04 (edited).csv,"[0, 0, 11]","[0, 0, 185]","[0, 0, 39]",0,0,47136
2017-01-05 22:14,stm_sb_modified.csv,"[0, 0, 9]","[2, 0, 77]","[1, 0, 21]",13,10,31488
#
# mp_h1_d0_w1_a038_n400_rad9_bsmetric (based on best mertic but scalar)
2017-01-06 08:54,stm_aasane01_03_modified.csv,"[0, 0, 2]","[0, 0, 72]","[0, 0, 14]",5,3,23247
2017-01-06 09:01,stm_aasane16_modified.csv,"[0, 0, 6]","[0, 4, 69]","[0, 0, 17]",7,6,22150
2017-01-06 09:10,stm_aasane18_modified.csv,"[0, 0, 0]","[0, 0, 58]","[0, 0, 13]",4,4,25913
2017-01-06 09:26,stm_fusa04 (edited).csv,"[0, 0, 4]","[0, 0, 75]","[0, 0, 22]",0,0,47136
2017-01-06 09:39,stm_sb_modified.csv,"[0, 1, 6]","[1, 12, 96]","[0, 2, 26]",13,10,31488
2017-01-06 09:48,stm_kontroll02 (edited).csv,"[0, 0, 6]","[0, 0, 101]","[0, 0, 13]",0,0,24539
2017-01-06 09:56,stm_kontroll05 (edited).csv,"[0, 0, 2]","[0, 0, 78]","[0, 0, 23]",0,0,21672
#
# mp_h1_d0_w0_a038_n1000_rad9_bsmetric (SUM step=5)
2017-01-06 10:29,stm_aasane01_03_modified.csv,"[1, 4, 26]","[0, 0, 3]","[0, 0, 0]",5,3,23247
2017-01-06 10:30,stm_aasane16_modified.csv,"[3, 8, 24]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-06 10:33,stm_aasane18_modified.csv,"[2, 5, 43]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-06 10:36,stm_fusa04 (edited).csv,"[0, 0, 13]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-06 10:39,stm_sb_modified.csv,"[6, 16, 51]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-06 10:41,stm_kontroll02 (edited).csv,"[0, 0, 93]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-06 10:43,stm_kontroll05 (edited).csv,"[0, 0, 35]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w0_a038_n1000_rad9_bsmetric (MEAN step=5)
2017-01-06 10:47,stm_aasane01_03_modified.csv,"[1, 4, 26]","[0, 0, 3]","[0, 0, 0]",5,3,23247
2017-01-06 10:49,stm_aasane16_modified.csv,"[3, 8, 24]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-06 10:51,stm_aasane18_modified.csv,"[2, 5, 43]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-06 10:54,stm_fusa04 (edited).csv,"[0, 0, 13]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-06 10:57,stm_sb_modified.csv,"[6, 16, 51]","[0, 0, 0]","[0, 0, 0]",13,10,31488
#
# mp_h1_d0_w0_a038_n1000_rad9_bsmetric (SUM step=2)
2017-01-06 11:04,stm_aasane01_03_modified.csv,"[2, 3, 61]","[0, 0, 10]","[0, 0, 2]",5,3,23247
2017-01-06 11:09,stm_aasane16_modified.csv,"[0, 3, 47]","[0, 0, 1]","[0, 0, 0]",7,6,22150
2017-01-06 11:15,stm_aasane18_modified.csv,"[3, 8, 118]","[1, 0, 22]","[0, 0, 1]",4,4,25913
2017-01-06 11:24,stm_fusa04 (edited).csv,"[0, 0, 74]","[0, 0, 36]","[0, 0, 6]",0,0,47136
2017-01-06 11:31,stm_sb_modified.csv,"[8, 22, 111]","[0, 4, 17]","[0, 1, 3]",13,10,31488
2017-01-06 11:38,stm_kontroll02 (edited).csv,"[0, 0, 157]","[0, 0, 3]","[0, 0, 0]",0,0,24539
2017-01-06 11:43,stm_kontroll05 (edited).csv,"[0, 0, 61]","[0, 0, 9]","[0, 0, 2]",0,0,21672
#
# mp_h1_d0_w0_a038_n1000_rad25_bsmetric (SUM step=2)
2017-01-06 12:59,stm_aasane01_03_modified.csv,"[3, 5, 116]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-06 13:05,stm_aasane16_modified.csv,"[2, 8, 91]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-06 13:12,stm_aasane18_modified.csv,"[1, 10, 140]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-06 13:22,stm_fusa04 (edited).csv,"[0, 0, 94]","[0, 0, 21]","[0, 0, 8]",0,0,47136
2017-01-06 13:30,stm_sb_modified.csv,"[4, 12, 139]","[0, 0, 1]","[0, 0, 0]",13,10,31488
2017-01-06 13:37,stm_kontroll02 (edited).csv,"[0, 0, 168]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-06 13:43,stm_kontroll05 (edited).csv,"[0, 0, 136]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w0_a045_n1000_rad35_bsmetric (MEAN step=2)
2017-01-06 14:01,stm_aasane01_03_modified.csv,"[2, 1, 87]","[0, 0, 13]","[0, 0, 3]",5,3,23247
2017-01-06 14:06,stm_aasane16_modified.csv,"[3, 5, 62]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-06 14:12,stm_aasane18_modified.csv,"[2, 6, 92]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-06 14:22,stm_fusa04 (edited).csv,"[0, 0, 79]","[0, 0, 36]","[0, 0, 9]",0,0,47136
2017-01-06 14:30,stm_sb_modified.csv,"[4, 12, 124]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-06 14:37,stm_kontroll02 (edited).csv,"[0, 0, 168]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-06 14:42,stm_kontroll05 (edited).csv,"[0, 0, 103]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a045_n1000_rad35_bsmetric (MEAN step=5)
2017-01-06 14:45,stm_aasane01_03_modified.csv,"[1, 0, 13]","[0, 0, 0]","[0, 0, 0]",5,3,23247
2017-01-06 14:47,stm_aasane16_modified.csv,"[1, 1, 5]","[0, 0, 0]","[0, 0, 0]",7,6,22150
2017-01-06 14:49,stm_aasane18_modified.csv,"[0, 0, 1]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-06 14:54,stm_fusa04 (edited).csv,"[0, 0, 5]","[0, 0, 0]","[0, 0, 0]",0,0,47136
2017-01-06 14:56,stm_sb_modified.csv,"[3, 2, 8]","[0, 0, 0]","[0, 0, 0]",13,10,31488
2017-01-06 14:59,stm_kontroll02 (edited).csv,"[0, 0, 1]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-06 15:01,stm_kontroll05 (edited).csv,"[0, 0, 5]","[0, 0, 0]","[0, 0, 0]",0,0,21672
#
# mp_h1_d0_w1_a045_n1000_rad35_bsmetric (MEAN step=2)
