,stamp,name,acc,prec,recall,preval,newRecall
0,2017-05-11 19:46,stm_aasane18,0.9993,0.0,0.0,0.00052,True
1,2017-05-11 19:50,stm_sb,0.9995,0.0,0.0,0.00116,True
2,2017-05-11 19:52,stm_aasane01_03,0.9987,0.1,0.333,0.00044,True
3,2017-05-11 19:54,stm_aasane16,0.9997,0.0,0.0,0.00094,True
4,2017-05-11 19:56,stm_aasane18,0.9992,0.0,0.0,0.00052,True
5,2017-05-11 20:00,stm_sb,0.9996,0.0,0.0,0.00116,True
6,2017-05-11 20:01,stm_aasane01_03,0.9985,0.091,0.333,0.00044,True
7,2017-05-11 20:29,stm_aasane18,0.9993,0.0,0.0,0.00052,True
8,2017-05-11 20:33,stm_sb,0.9995,0.0,0.0,0.00116,True
9,2017-05-11 20:35,stm_aasane01_03,0.9987,0.1,0.333,0.00044,True
10,2017-05-11 20:36,stm_aasane16,0.9997,0.0,0.0,0.00094,True
11,2017-05-11 20:39,stm_aasane18,0.9992,0.0,0.0,0.00052,True
12,2017-05-11 20:42,stm_sb,0.9996,0.0,0.0,0.00116,True
13,2017-05-11 20:44,stm_aasane01_03,0.9985,0.091,0.333,0.00044,True
14,2017-05-11 20:46,stm_aasane16,0.9987,0.111,0.167,0.00094,True
15,2017-05-11 20:48,stm_aasane18,0.9979,0.0,0.0,0.00052,True
16,2017-05-11 20:51,stm_sb,0.9981,0.0,0.0,0.00116,True
17,2017-05-11 20:53,stm_aasane01_03,0.9985,0.0,0.0,0.00044,True
18,2017-05-11 20:54,stm_aasane16,0.9986,0.0,0.0,0.00094,True
19,2017-05-11 20:57,stm_aasane18,0.998,0.063,0.25,0.00052,True
20,2017-05-11 21:00,stm_sb,0.9981,0.053,0.091,0.00116,True
21,2017-05-11 21:01,stm_aasane01_03,0.9973,0.0,0.0,0.00044,True
22,2017-05-11 21:03,stm_aasane16,0.9986,0.0,0.0,0.00094,True
23,2017-05-11 21:05,stm_aasane18,0.9995,0.0,0.0,0.00052,True
24,2017-05-11 21:07,stm_sb,0.9995,0.167,0.091,0.00116,True
25,2017-05-11 21:09,stm_aasane01_03,0.9991,0.0,0.0,0.00044,True
26,2017-05-11 21:10,stm_aasane16,0.9986,0.1,0.167,0.00094,True
27,2017-05-11 21:12,stm_aasane18,0.9993,0.0,0.0,0.00052,True
28,2017-05-11 21:15,stm_sb,0.9998,0.0,0.0,0.00116,True
29,2017-05-11 21:16,stm_aasane01_03,0.9994,0.0,0.0,0.00044,True
30,2017-05-11 21:19,stm_aasane16,0.9981,0.077,0.167,0.00094,True
31,2017-05-11 21:22,stm_aasane18,0.9969,0.0,0.0,0.00052,True
32,2017-05-11 21:25,stm_sb,0.9974,0.138,0.273,0.00116,True
33,2017-05-11 21:27,stm_aasane01_03,0.995,0.105,0.333,0.00044,True
34,2017-05-11 21:29,stm_aasane16,0.9969,0.0,0.0,0.00094,True
35,2017-05-11 21:32,stm_aasane18,0.9955,0.0,0.0,0.00052,True
36,2017-05-11 21:35,stm_sb,0.9956,0.087,0.273,0.00116,True
37,2017-05-11 21:38,stm_aasane01_03,0.9944,0.095,0.333,0.00044,True
38,2017-05-11 21:40,stm_aasane16,0.998,0.0,0.0,0.00094,True
39,2017-05-11 21:43,stm_aasane18,0.9969,0.04,0.25,0.00052,True
40,2017-05-11 21:47,stm_sb,0.9969,0.033,0.091,0.00116,True
41,2017-05-11 21:49,stm_aasane01_03,0.9972,0.0,0.0,0.00044,True
42,2017-05-11 21:52,stm_aasane16,0.9973,0.0,0.0,0.00094,True
43,2017-05-11 21:55,stm_aasane18,0.9969,0.04,0.25,0.00052,True
44,2017-05-11 21:58,stm_sb,0.9961,0.075,0.182,0.00116,True
45,2017-05-11 22:01,stm_aasane01_03,0.9967,0.0,0.0,0.00044,True
46,2017-05-11 22:03,stm_aasane16,0.9981,0.0,0.0,0.00094,True
47,2017-05-11 22:05,stm_aasane18,0.9997,0.0,0.0,0.00052,True
48,2017-05-11 22:08,stm_sb,0.9998,0.0,0.0,0.00116,True
49,2017-05-11 22:10,stm_aasane01_03,0.9993,0.0,0.0,0.00044,True
50,2017-05-11 22:12,stm_aasane16,0.9978,0.0,0.0,0.00094,True
51,2017-05-11 22:15,stm_aasane18,0.9999,0.0,0.0,0.00052,True
52,2017-05-11 22:18,stm_sb,0.9997,0.0,0.0,0.00116,True
53,2017-05-11 22:20,stm_aasane01_03,0.999,0.0,0.0,0.00044,True
54,2017-05-11 22:22,stm_aasane16,0.9929,0.082,0.333,0.00094,True
55,2017-05-11 22:24,stm_aasane18,0.9908,0.0,0.0,0.00052,True
56,2017-05-11 22:27,stm_sb,0.9914,0.118,0.455,0.00116,True
57,2017-05-11 22:29,stm_aasane01_03,0.9874,0.158,0.333,0.00044,True
58,2017-05-11 22:31,stm_aasane16,0.9923,0.093,0.333,0.00094,True
59,2017-05-11 22:34,stm_aasane18,0.989,0.012,0.25,0.00052,True
60,2017-05-11 22:36,stm_sb,0.9905,0.135,0.545,0.00116,True
61,2017-05-11 22:38,stm_aasane01_03,0.987,0.146,0.333,0.00044,True
62,2017-05-11 22:40,stm_aasane16,0.995,0.179,0.667,0.00094,True
63,2017-05-11 22:43,stm_aasane18,0.99,0.038,0.5,0.00052,True
64,2017-05-11 22:45,stm_sb,0.9902,0.061,0.364,0.00116,True
65,2017-05-11 22:47,stm_aasane01_03,0.9889,0.0,0.0,0.00044,True
66,2017-05-11 22:49,stm_aasane16,0.9951,0.184,0.667,0.00094,True
67,2017-05-11 22:51,stm_aasane18,0.9885,0.022,0.25,0.00052,True
68,2017-05-11 22:54,stm_sb,0.9895,0.065,0.364,0.00116,True
69,2017-05-11 22:56,stm_aasane01_03,0.9876,0.023,0.333,0.00044,True
70,2017-05-11 22:58,stm_aasane16,0.9881,0.062,0.5,0.00094,True
71,2017-05-11 23:00,stm_aasane18,0.992,0.0,0.0,0.00052,True
72,2017-05-11 23:02,stm_sb,0.9904,0.142,0.636,0.00116,True
73,2017-05-11 23:04,stm_aasane01_03,0.9881,0.091,0.333,0.00044,True
74,2017-05-11 23:05,stm_aasane16,0.9851,0.05,0.5,0.00094,True
75,2017-05-11 23:07,stm_aasane18,0.9912,0.0,0.0,0.00052,True
76,2017-05-11 23:10,stm_sb,0.989,0.126,0.636,0.00116,True
77,2017-05-11 23:11,stm_aasane01_03,0.9877,0.098,0.333,0.00044,True
78,2017-05-11 23:14,stm_aasane16,0.9912,0.082,0.333,0.00094,True
79,2017-05-11 23:16,stm_aasane18,0.9865,0.019,0.5,0.00052,True
80,2017-05-11 23:20,stm_sb,0.9888,0.07,0.364,0.00116,True
81,2017-05-11 23:22,stm_aasane01_03,0.983,0.102,0.333,0.00044,True
82,2017-05-11 23:24,stm_aasane16,0.9906,0.104,0.5,0.00094,True
83,2017-05-11 23:27,stm_aasane18,0.9851,0.017,0.5,0.00052,True
84,2017-05-11 23:30,stm_sb,0.9864,0.092,0.636,0.00116,True
85,2017-05-11 23:33,stm_aasane01_03,0.9818,0.096,0.333,0.00044,True
86,2017-05-11 23:35,stm_aasane16,0.9928,0.164,0.667,0.00094,True
87,2017-05-11 23:38,stm_aasane18,0.9876,0.021,0.5,0.00052,True
88,2017-05-11 23:42,stm_sb,0.988,0.058,0.455,0.00116,True
89,2017-05-11 23:44,stm_aasane01_03,0.9893,0.0,0.0,0.00044,True
90,2017-05-11 23:47,stm_aasane16,0.9925,0.127,0.667,0.00094,True
91,2017-05-11 23:50,stm_aasane18,0.9864,0.019,0.5,0.00052,True
92,2017-05-11 23:53,stm_sb,0.9861,0.05,0.273,0.00116,True
93,2017-05-11 23:56,stm_aasane01_03,0.9849,0.019,0.333,0.00044,True
94,2017-05-11 23:58,stm_aasane16,0.9887,0.04,0.167,0.00094,True
95,2017-05-12 00:00,stm_aasane18,0.9886,0.0,0.0,0.00052,True
96,2017-05-12 00:03,stm_sb,0.9892,0.127,0.636,0.00116,True
97,2017-05-12 00:06,stm_aasane01_03,0.9856,0.076,0.333,0.00044,True
98,2017-05-12 00:08,stm_aasane16,0.9864,0.033,0.167,0.00094,True
99,2017-05-12 00:10,stm_aasane18,0.9873,0.01,0.25,0.00052,True
100,2017-05-12 00:13,stm_sb,0.9882,0.132,0.636,0.00116,True
101,2017-05-12 00:15,stm_aasane01_03,0.9855,0.058,0.333,0.00044,True
102,2017-05-12 00:20,stm_aasane18,0.9993,0.0,0.0,0.00052,True
103,2017-05-12 00:23,stm_sb,0.9995,0.0,0.0,0.00116,True
104,2017-05-12 00:25,stm_aasane01_03,0.9987,0.1,0.333,0.00044,True
105,2017-05-12 00:27,stm_aasane16,0.9997,0.0,0.0,0.00094,True
106,2017-05-12 00:30,stm_aasane18,0.9992,0.0,0.0,0.00052,True
107,2017-05-12 00:33,stm_sb,0.9996,0.0,0.0,0.00116,True
108,2017-05-12 00:35,stm_aasane01_03,0.9985,0.091,0.333,0.00044,True
109,2017-05-12 00:36,stm_aasane16,0.9987,0.111,0.167,0.00094,True
110,2017-05-12 00:39,stm_aasane18,0.9979,0.0,0.0,0.00052,True
111,2017-05-12 00:41,stm_sb,0.9981,0.0,0.0,0.00116,True
112,2017-05-12 00:43,stm_aasane01_03,0.9985,0.0,0.0,0.00044,True
113,2017-05-12 00:45,stm_aasane16,0.9986,0.0,0.0,0.00094,True
114,2017-05-12 00:47,stm_aasane18,0.998,0.063,0.25,0.00052,True
115,2017-05-12 00:50,stm_sb,0.9981,0.053,0.091,0.00116,True
116,2017-05-12 00:52,stm_aasane01_03,0.9973,0.0,0.0,0.00044,True
117,2017-05-12 00:53,stm_aasane16,0.9986,0.0,0.0,0.00094,True
118,2017-05-12 00:55,stm_aasane18,0.9995,0.0,0.0,0.00052,True
119,2017-05-12 00:58,stm_sb,0.9995,0.167,0.091,0.00116,True
120,2017-05-12 00:59,stm_aasane01_03,0.9991,0.0,0.0,0.00044,True
121,2017-05-12 01:01,stm_aasane16,0.9986,0.1,0.167,0.00094,True
122,2017-05-12 01:03,stm_aasane18,0.9993,0.0,0.0,0.00052,True
123,2017-05-12 01:05,stm_sb,0.9998,0.0,0.0,0.00116,True
124,2017-05-12 01:07,stm_aasane01_03,0.9994,0.0,0.0,0.00044,True
125,2017-05-12 01:09,stm_aasane16,0.9981,0.077,0.167,0.00094,True
126,2017-05-12 01:12,stm_aasane18,0.9969,0.0,0.0,0.00052,True
127,2017-05-12 01:15,stm_sb,0.9974,0.138,0.273,0.00116,True
128,2017-05-12 01:18,stm_aasane01_03,0.995,0.105,0.333,0.00044,True
129,2017-05-12 01:20,stm_aasane16,0.9969,0.0,0.0,0.00094,True
130,2017-05-12 01:22,stm_aasane18,0.9955,0.0,0.0,0.00052,True
131,2017-05-12 01:26,stm_sb,0.9956,0.087,0.273,0.00116,True
132,2017-05-12 01:28,stm_aasane01_03,0.9944,0.095,0.333,0.00044,True
133,2017-05-12 01:30,stm_aasane16,0.998,0.0,0.0,0.00094,True
134,2017-05-12 01:33,stm_aasane18,0.9969,0.04,0.25,0.00052,True
135,2017-05-12 01:37,stm_sb,0.9969,0.033,0.091,0.00116,True
136,2017-05-12 01:39,stm_aasane01_03,0.9972,0.0,0.0,0.00044,True
137,2017-05-12 01:42,stm_aasane16,0.9973,0.0,0.0,0.00094,True
138,2017-05-12 01:45,stm_aasane18,0.9969,0.04,0.25,0.00052,True
139,2017-05-12 01:48,stm_sb,0.9961,0.075,0.182,0.00116,True
140,2017-05-12 01:51,stm_aasane01_03,0.9967,0.0,0.0,0.00044,True
141,2017-05-12 01:53,stm_aasane16,0.9981,0.0,0.0,0.00094,True
142,2017-05-12 01:55,stm_aasane18,0.9997,0.0,0.0,0.00052,True
143,2017-05-12 01:58,stm_sb,0.9998,0.0,0.0,0.00116,True
144,2017-05-12 02:00,stm_aasane01_03,0.9993,0.0,0.0,0.00044,True
145,2017-05-12 02:02,stm_aasane16,0.9978,0.0,0.0,0.00094,True
146,2017-05-12 02:05,stm_aasane18,0.9999,0.0,0.0,0.00052,True
147,2017-05-12 02:08,stm_sb,0.9997,0.0,0.0,0.00116,True
148,2017-05-12 02:10,stm_aasane01_03,0.999,0.0,0.0,0.00044,True
149,2017-05-12 02:12,stm_aasane16,0.9929,0.082,0.333,0.00094,True
150,2017-05-12 02:14,stm_aasane18,0.9908,0.0,0.0,0.00052,True
151,2017-05-12 02:17,stm_sb,0.9914,0.118,0.455,0.00116,True
152,2017-05-12 02:19,stm_aasane01_03,0.9874,0.158,0.333,0.00044,True
153,2017-05-12 02:21,stm_aasane16,0.9923,0.093,0.333,0.00094,True
154,2017-05-12 02:24,stm_aasane18,0.989,0.012,0.25,0.00052,True
155,2017-05-12 02:27,stm_sb,0.9905,0.135,0.545,0.00116,True
156,2017-05-12 02:28,stm_aasane01_03,0.987,0.146,0.333,0.00044,True
157,2017-05-12 02:30,stm_aasane16,0.995,0.179,0.667,0.00094,True
158,2017-05-12 02:33,stm_aasane18,0.99,0.038,0.5,0.00052,True
159,2017-05-12 02:36,stm_sb,0.9902,0.061,0.364,0.00116,True
160,2017-05-12 02:37,stm_aasane01_03,0.9889,0.0,0.0,0.00044,True
161,2017-05-12 02:39,stm_aasane16,0.9951,0.184,0.667,0.00094,True
162,2017-05-12 02:42,stm_aasane18,0.9885,0.022,0.25,0.00052,True
163,2017-05-12 02:44,stm_sb,0.9895,0.065,0.364,0.00116,True
164,2017-05-12 02:46,stm_aasane01_03,0.9876,0.023,0.333,0.00044,True
165,2017-05-12 02:48,stm_aasane16,0.9881,0.062,0.5,0.00094,True
166,2017-05-12 02:50,stm_aasane18,0.992,0.0,0.0,0.00052,True
167,2017-05-12 02:52,stm_sb,0.9904,0.142,0.636,0.00116,True
168,2017-05-12 02:54,stm_aasane01_03,0.9881,0.091,0.333,0.00044,True
169,2017-05-12 02:55,stm_aasane16,0.9851,0.05,0.5,0.00094,True
170,2017-05-12 02:57,stm_aasane18,0.9912,0.0,0.0,0.00052,True
171,2017-05-12 03:00,stm_sb,0.989,0.126,0.636,0.00116,True
172,2017-05-12 03:01,stm_aasane01_03,0.9877,0.098,0.333,0.00044,True
173,2017-05-12 03:04,stm_aasane16,0.9912,0.082,0.333,0.00094,True
174,2017-05-12 03:06,stm_aasane18,0.9865,0.019,0.5,0.00052,True
175,2017-05-12 03:10,stm_sb,0.9888,0.07,0.364,0.00116,True
176,2017-05-12 03:12,stm_aasane01_03,0.983,0.102,0.333,0.00044,True
177,2017-05-12 03:14,stm_aasane16,0.9906,0.104,0.5,0.00094,True
178,2017-05-12 03:17,stm_aasane18,0.9851,0.017,0.5,0.00052,True
179,2017-05-12 03:20,stm_sb,0.9864,0.092,0.636,0.00116,True
180,2017-05-12 03:23,stm_aasane01_03,0.9818,0.096,0.333,0.00044,True
181,2017-05-12 03:25,stm_aasane16,0.9928,0.164,0.667,0.00094,True
182,2017-05-12 03:28,stm_aasane18,0.9876,0.021,0.5,0.00052,True
183,2017-05-12 03:32,stm_sb,0.988,0.058,0.455,0.00116,True
184,2017-05-12 03:34,stm_aasane01_03,0.9893,0.0,0.0,0.00044,True
