,stamp,name,acc,prec,recall,preval,newRecall
77,2017-04-11 01:09,stm_sb,0.9949,0.138,1.0,0.00037,True
78,2017-04-11 01:15,stm_aasane01_03,0.9947,0.0,0.0,0.00016,True
79,2017-04-11 01:29,stm_aasane16,0.998,0.053,0.333,0.00034,True
80,2017-04-11 01:40,stm_aasane18,0.9972,0.076,1.0,0.00019,True
81,2017-04-11 01:52,stm_sb,0.9983,0.043,0.2,0.00037,True
82,2017-04-11 02:00,stm_aasane01_03,0.9962,0.174,1.0,0.00016,True
83,2017-04-11 02:18,stm_aasane16,0.9964,0.0,0.0,0.00034,True
84,2017-04-11 02:27,stm_aasane18,0.9968,0.0,0.0,0.00019,True
85,2017-04-11 02:36,stm_sb,0.9963,0.019,0.2,0.00037,True
86,2017-04-11 02:43,stm_aasane01_03,0.9956,0.035,1.0,0.00016,True
87,2017-04-11 03:00,stm_aasane16,0.9993,0.2,0.5,0.00034,True
88,2017-04-11 03:10,stm_aasane18,0.9993,0.0,0.0,0.00019,True
89,2017-04-11 03:22,stm_sb,0.9991,0.0,0.0,0.00037,True
90,2017-04-11 03:31,stm_aasane01_03,0.9977,0.157,1.0,0.00016,True
91,2017-04-11 03:50,stm_aasane16,0.997,0.018,0.167,0.00034,True
92,2017-04-11 03:59,stm_aasane18,0.9972,0.032,0.5,0.00019,True
93,2017-04-11 04:09,stm_sb,0.9977,0.031,0.2,0.00037,True
94,2017-04-11 04:17,stm_aasane01_03,0.9953,0.119,1.0,0.00016,True
95,2017-04-11 04:36,stm_aasane16,1.0,1.0,0.833,0.00034,True
96,2017-04-11 04:47,stm_aasane18,0.9999,0.0,0.0,0.00019,True
97,2017-04-11 04:59,stm_sb,0.9999,0.0,0.0,0.00037,True
98,2017-04-11 05:27,stm_aasane16,0.9979,0.0,0.0,0.00034,True
99,2017-04-11 05:37,stm_aasane18,0.9982,0.0,0.0,0.00019,True
100,2017-04-11 05:48,stm_sb,0.9987,0.053,0.2,0.00037,True
101,2017-04-11 05:56,stm_aasane01_03,0.9986,0.0,0.0,0.00016,True
