,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.718,0.097,0.051,0.369,0.0,0.0,135,48,5,0,0.94,0.72,0.81,188,0,0,0,624,218,13,39.56
1,1,1,0.681,0.031,0.014,0.544,0.525,0.267,126,57,3,2,0.95,0.68,0.79,188,0,0,0,624,218,13,39.56
2,1,2,0.899,0.047,0.041,0.462,0.0,0.0,169,14,5,0,0.95,0.9,0.92,188,0,0,0,624,218,13,39.56
3,1,3,0.947,0.027,0.027,0.486,0.0,0.0,178,5,5,0,0.95,0.95,0.95,188,0,0,0,624,218,13,39.56
4,1,4,0.973,0.0,0.0,0.5,0.0,0.0,183,0,5,0,0.95,0.97,0.96,188,0,0,0,624,218,13,39.56
5,1,5,0.963,0.017,0.015,0.495,0.0,0.0,181,2,5,0,0.95,0.96,0.95,188,0,0,0,624,218,13,39.56
6,1,6,0.947,0.027,0.027,0.486,0.0,0.0,178,5,5,0,0.95,0.95,0.95,188,0,0,0,624,218,13,39.56
7,1,7,0.968,0.012,0.009,0.497,0.0,0.0,182,1,5,0,0.95,0.97,0.96,188,0,0,0,624,218,13,39.56
8,1,8,0.968,0.012,0.009,0.497,0.0,0.0,182,1,5,0,0.95,0.97,0.96,188,0,0,0,624,218,13,39.56
9,1,9,0.968,0.243,0.235,0.595,0.445,0.182,181,2,4,1,0.96,0.97,0.96,188,0,0,0,624,218,13,39.56
10,2,0,0.676,0.091,0.032,0.671,0.671,0.45,125,60,1,2,0.98,0.68,0.79,188,0,0,0,626,22,13,28.45
11,2,1,0.564,0.058,0.016,0.614,0.612,0.379,104,81,1,2,0.98,0.56,0.71,188,0,0,0,626,22,13,28.45
12,2,2,0.809,0.059,0.03,0.411,0.0,0.0,152,33,3,0,0.96,0.81,0.88,188,0,0,0,626,22,13,28.45
13,2,3,0.824,0.055,0.03,0.419,0.0,0.0,155,30,3,0,0.97,0.82,0.89,188,0,0,0,626,22,13,28.45
14,2,4,0.984,0.0,0.0,0.5,0.0,0.0,185,0,3,0,0.97,0.98,0.98,188,0,0,0,626,22,13,28.45
15,2,5,0.979,0.009,0.008,0.497,0.0,0.0,184,1,3,0,0.97,0.98,0.97,188,0,0,0,626,22,13,28.45
16,2,6,0.947,0.025,0.023,0.481,0.0,0.0,178,7,3,0,0.97,0.95,0.96,188,0,0,0,626,22,13,28.45
17,2,7,0.963,0.019,0.019,0.489,0.0,0.0,181,4,3,0,0.97,0.96,0.97,188,0,0,0,626,22,13,28.45
18,2,8,0.984,0.0,0.0,0.5,0.0,0.0,185,0,3,0,0.97,0.98,0.98,188,0,0,0,626,22,13,28.45
19,2,9,0.968,0.016,0.016,0.492,0.0,0.0,182,3,3,0,0.97,0.97,0.97,188,0,0,0,626,22,13,28.45
20,3,0,0.686,0.095,0.034,0.677,0.677,0.457,127,58,1,2,0.98,0.69,0.8,188,0,0,0,626,19,13,28.23
21,3,1,0.617,0.012,0.004,0.477,0.455,0.201,115,70,2,1,0.97,0.62,0.75,188,0,0,0,626,19,13,28.23
22,3,2,0.654,0.084,0.028,0.66,0.66,0.437,121,64,1,2,0.98,0.65,0.78,188,0,0,0,626,19,13,28.23
23,3,3,0.931,0.03,0.025,0.473,0.0,0.0,175,10,3,0,0.97,0.93,0.95,188,0,0,0,626,19,13,28.23
24,3,4,0.984,0.0,0.0,0.5,0.0,0.0,185,0,3,0,0.97,0.98,0.98,188,0,0,0,626,19,13,28.23
25,3,5,0.979,0.009,0.008,0.497,0.0,0.0,184,1,3,0,0.97,0.98,0.97,188,0,0,0,626,19,13,28.23
26,3,6,0.947,0.025,0.023,0.481,0.0,0.0,178,7,3,0,0.97,0.95,0.96,188,0,0,0,626,19,13,28.23
27,3,7,0.947,0.025,0.023,0.481,0.0,0.0,178,7,3,0,0.97,0.95,0.96,188,0,0,0,626,19,13,28.23
28,3,8,0.968,0.016,0.016,0.492,0.0,0.0,182,3,3,0,0.97,0.97,0.97,188,0,0,0,626,19,13,28.23
29,3,9,0.968,0.016,0.016,0.492,0.0,0.0,182,3,3,0,0.97,0.97,0.97,188,0,0,0,626,19,13,28.23
30,4,0,0.577,0.13,0.033,0.786,0.756,0.596,176,132,0,4,0.99,0.58,0.72,312,0,0,0,1040,22,13,33.99
31,4,1,0.795,0.015,0.006,0.526,0.448,0.189,247,61,3,1,0.98,0.79,0.87,312,0,0,0,1040,22,13,33.99
32,4,2,0.67,0.158,0.049,0.833,0.816,0.688,205,103,0,4,0.99,0.67,0.79,312,0,0,0,1040,22,13,33.99
33,4,3,0.987,0.0,0.0,0.5,0.0,0.0,308,0,4,0,0.97,0.99,0.98,312,0,0,0,1040,22,13,33.99
34,4,4,0.913,0.032,0.022,0.463,0.0,0.0,285,23,4,0,0.97,0.91,0.94,312,0,0,0,1040,22,13,33.99
35,4,5,0.978,0.011,0.011,0.495,0.0,0.0,305,3,4,0,0.97,0.98,0.98,312,0,0,0,1040,22,13,33.99
36,4,6,0.971,0.015,0.014,0.492,0.0,0.0,303,5,4,0,0.97,0.97,0.97,312,0,0,0,1040,22,13,33.99
37,4,7,0.731,0.121,0.043,0.74,0.74,0.549,225,83,1,3,0.98,0.73,0.83,312,0,0,0,1040,22,13,33.99
38,4,8,0.987,0.0,0.0,0.5,0.0,0.0,308,0,4,0,0.97,0.99,0.98,312,0,0,0,1040,22,13,33.99
39,4,9,0.987,0.0,0.0,0.5,0.0,0.0,308,0,4,0,0.97,0.99,0.98,312,0,0,0,1040,22,13,33.99
40,5,0,0.593,0.134,0.035,0.794,0.767,0.612,181,127,0,4,0.99,0.59,0.73,312,0,0,0,1040,19,13,33.69
41,5,1,0.936,0.094,0.071,0.597,0.486,0.22,291,17,3,1,0.98,0.94,0.96,312,0,0,0,1040,19,13,33.69
42,5,2,0.686,0.105,0.034,0.718,0.717,0.517,211,97,1,3,0.98,0.69,0.8,312,0,0,0,1040,19,13,33.69
43,5,3,0.984,0.006,0.005,0.498,0.0,0.0,307,1,4,0,0.97,0.98,0.98,312,0,0,0,1040,19,13,33.69
44,5,4,0.881,0.215,0.119,0.817,0.814,0.654,272,36,1,3,0.98,0.88,0.93,312,0,0,0,1040,19,13,33.69
45,5,5,0.974,0.013,0.013,0.494,0.0,0.0,304,4,4,0,0.97,0.97,0.97,312,0,0,0,1040,19,13,33.69
46,5,6,0.984,0.006,0.005,0.498,0.0,0.0,307,1,4,0,0.97,0.98,0.98,312,0,0,0,1040,19,13,33.69
47,5,7,0.689,0.165,0.053,0.843,0.828,0.707,211,97,0,4,0.99,0.69,0.8,312,0,0,0,1040,19,13,33.69
48,5,8,0.965,0.017,0.017,0.489,0.0,0.0,301,7,4,0,0.97,0.96,0.97,312,0,0,0,1040,19,13,33.69
49,5,9,0.987,0.0,0.0,0.5,0.0,0.0,308,0,4,0,0.97,0.99,0.98,312,0,0,0,1040,19,13,33.69
