,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.508,0.014,0.001,0.587,0.582,0.344,897,870,1,2,1.0,0.51,0.67,1770,0,0,0,5897,438,15,598.4
1,1,1,0.995,0.002,0.002,0.498,0.0,0.0,1761,6,3,0,1.0,0.99,1.0,1770,0,0,0,5897,438,15,598.4
2,1,2,0.968,0.007,0.003,0.485,0.0,0.0,1714,53,3,0,1.0,0.97,0.98,1770,0,0,0,5897,438,15,598.4
3,1,3,0.998,0.001,0.001,0.5,0.0,0.0,1766,1,3,0,1.0,1.0,1.0,1770,0,0,0,5897,438,15,598.4
4,1,4,0.998,0.001,0.001,0.5,0.0,0.0,1766,1,3,0,1.0,1.0,1.0,1770,0,0,0,5897,438,15,598.4
5,1,5,0.994,0.003,0.002,0.498,0.0,0.0,1760,7,3,0,1.0,0.99,1.0,1770,0,0,0,5897,438,15,598.4
6,1,6,0.998,0.001,0.001,0.5,0.0,0.0,1766,1,3,0,1.0,1.0,1.0,1770,0,0,0,5897,438,15,598.4
7,1,7,0.992,0.003,0.003,0.497,0.0,0.0,1756,11,3,0,1.0,0.99,0.99,1770,0,0,0,5897,438,15,598.4
8,1,8,0.997,0.001,0.001,0.499,0.0,0.0,1765,2,3,0,1.0,1.0,1.0,1770,0,0,0,5897,438,15,598.4
9,1,9,0.996,0.002,0.002,0.499,0.0,0.0,1763,4,3,0,1.0,1.0,1.0,1770,0,0,0,5897,438,15,598.4
10,2,0,0.493,0.013,0.001,0.58,0.573,0.334,870,897,1,2,1.0,0.49,0.66,1770,0,0,60,5897,438,15,107.31
11,2,1,0.882,0.015,0.003,0.442,0.0,0.0,1562,205,3,0,1.0,0.88,0.94,1770,0,0,60,5897,438,15,107.31
12,2,2,0.926,0.012,0.003,0.464,0.0,0.0,1639,128,3,0,1.0,0.93,0.96,1770,0,0,60,5897,438,15,107.31
13,2,3,0.997,0.001,0.001,0.499,0.0,0.0,1765,2,3,0,1.0,1.0,1.0,1770,0,0,60,5897,438,15,107.31
